Date,"Iron Ore Fines, Odisha Index, India : 0-10mm, Fe 62% 1428","Coal - Richards Bay,South Africa - India - RB2 (5500 NAR)",Pellet_Exw_Raipur,"Mumbai: Scrap Price 80:20 INR/t, 1047","Pig Iron, DAP-Raipur, India : Steel Grade","Sponge Iron, CDRI, DAP Durgapur, India : Mix (70% Lumps, 30% Fines), FeM 78% (+/-1)","Rebar, Exw-Mumbai, India : 12-25mm, IF Route,Fe 500, IS 1786","Sponge Iron, PDRI, Exw-Raipur, India : Lumps,FeM 80%, +/-1","Ingot, Exw-Raipur, India, 3.5 x 4.5 Inch, IS 2830","Billet, DAP-Mumbai, India,100x100mm, IS 2831","Rebar, Exw-Raipur, India : 12-25mm, IF Route,Fe 500, IS 1786",WPI_MS_Bright_Bars,Rebar production IF,"Structure-Angle, Exw-Mumbai, India : 75x75 Angle, IF Route,IS 2062/2011 E-250 Gr A","Structure-Angle, Exw-Durgapur, India : 130x130 Angle, IF Route,IS 2062/2011 E-250 Gr A","Price : Structure-Angle, Exw-Raipur, India : 150x150 Angle, IF Route,IS 2062/2011 E-250 Gr A"
2025-06-29,4800.0,66.9,9050.0,30800.0,32550.0,25550.0,44250.0,22391.6666666667,36875.0,39666.6666666667,41066.6666666667,130.38,0.756933,47416.6666666667,44850.0,45266.6666666667
2025-07-06,4850.0,67.6,8800.0,30833.3333333333,32516.6666666667,26033.3333333333,43783.3333333333,22566.6666666667,36516.6666666667,39350.0,40466.6666666667,129.76,0.735811,46750.0,44650.0,45000.0
2025-07-13,5000.0,67.7,9100.0,30683.3333333333,32825.0,26400.0,43533.3333333333,23358.3333333333,36625.0,39150.0,39683.3333333333,129.82,0.73229,46600.0,44550.0,45066.6666666667
2025-07-20,5200.0,69.7,9500.0,30500.0,32891.6666666667,26300.0,43450.0,23500.0,36275.0,38900.0,39516.6666666667,129.88,0.73229,45866.6666666667,44416.6666666667,44716.6666666667
2025-07-27,5350.0,69.7,9700.0,30583.3333333333,33158.3333333333,26483.3333333333,43350.0,24575.0,37000.0,39683.3333333333,39050.0,129.94,0.73229,46550.0,44583.3333333333,45516.6666666667
2025-08-03,5350.0,70.4,10000.0,30700.0,33708.3333333333,26366.6666666667,43416.6666666667,24816.6666666667,37250.0,40200.0,40000.0,130.23,0.722806,47300.0,44816.6666666667,45983.3333333333
2025-08-10,5500.0,71.9,10000.0,31360.0,33780.0,26300.0,44416.6666666667,24720.0,37360.0,40800.0,40100.0,130.47,0.710161,48020.0,44630.0,45980.0
2025-08-17,5500.0,73.0,10000.0,31500.0,33962.5,26650.0,45660.0,24325.0,37262.5,40350.0,39940.0,130.7,0.710161,48200.0,44650.0,45875.0
2025-08-24,5500.0,73.2,10300.0,31466.6666666667,33683.3333333333,26700.0,45850.0,24041.6666666667,37208.3333333333,40233.3333333333,39825.0,130.93,0.710161,48200.0,44300.0,45850.0
2025-08-31,5500.0,74.0,10300.0,30833.3333333333,33366.6666666667,26875.0,45666.6666666667,23250.0,36583.3333333333,39320.0,40100.0,131.17,0.710161,47040.0,44030.0,45283.3333333333
